EAN13,DESCRICAO,CODIGO
7896001002159,ESCOVA NOVICA LIMPEZA DELICADA          ,696722
7896001002753,ESCOVA NOVICA LIMPEZA PESADA C/3        ,2292904
7896001002500,ESCOVA NOVICA MULTIUSO BT 250,728080
7896001002609,ESCOVA NOVICA VARREMESA BT 260,727873
7891055610602,ESCOVA SANITARIA CONDOR C/PO.610        ,728063
7891055610404,ESCOVA SANITARIA CONDOR 6120,728128
7896001005860,ESCOVA SANITARIA SANILUX C/ SUPORTE     ,2292920
7896001005679,ESCOVA SANITARIA SANILUX C/SUPORTE PLAST,2300389
7896001005853,ESCOVA SANITARIA SANILUX FACILITA       ,2292947
7896001005655,ESCOVA SANITARIA SANILUX PRETA C/SUP.565,727962
7896001005709,ESCOVA SANITARIA SANILUX PRETA 570,727970
7891055608302,ESFREGAO CONDOR AUTO TORCAO             ,1876694
7896565700324,LAVA VIDRO FORTA C/CABO                 ,727946
7896001005051,MOP BRILHUS GIRATORIO PLUS              ,2258560
7891055775806,MOP CONDOR SPRAY                        ,1925300
7891055775905,MOP CONDOR SPRAY REFIL                  ,1925318
3000030490359,MOP IDB PEQUENO                         ,3049035
7896001001350,MOP NOVICA ABRASIVA REFIL               ,2292890
7896001013988,MOP NOVICA LAVA/SECA VERDE              ,2207567
7896001019225,MOP NOVICA LIMPA VIDROS                 ,1706306
7896001014428,MOP NOVICA SEKITO C/CABO,1357557
7896001017122,MOP NOVICA SPRAY FIT                    ,2211238
7891055150016,PA CONDOR C/ESPANADOR                   ,1700367
7896001001503,PA NOVICA C/CABO JEITOSA                ,980005
7896001001206,PA NOVICA CLIPA C/ ESCOVA PLASTICA      ,2292963
7896001001459,PA NOVICA CLIPA CONCEPT,980030
7896565700300,PASSA CERA FORTA                        ,727938
7896001001442,REFIL ESPUMA MOP NOVICA SEKITO,1357565
7897750775790,REFIL MOP ALKLIN MULTIUSO,1489356
7896001001329,REFIL MOP NOVICA NATURAL PLUS           ,727920
7896001020283,RODO BRILHUS M                          ,2070316
7891055112403,RODO CONDOR ENXUTO 30cm,728268
7891055112502,RODO CONDOR ENXUTO 40cm,728233
7896001003200,RODO NOVICA MAX M 40cm,1950932
7896001020313,RODO PIA BRILHUS PLASTICO,1863479
7891055585801,RODO PIA CONDOR MULTIUSO MASTER CHEF    ,2282950
7891055798836,ROLO ADESIVO CONDOR 30F C/RF 30F        ,2253577
7896001002036,ROLO ADESIVO NOVICA C/REFIL L+P-        ,1863495
7896001020054,ROLO ADESIVO NOVICA FIT C/REFIL L+P-    ,2292971
7891040102518,ROLO ADESIVO SCOTH BRITE 21FL,728187
7891040102525,ROLO ADESIVO SCOTH BRITE 21FL REFIL,728195
7896628013002,ACETONA BUTTERFLY 50ml REM.ESMALTE      ,2219395
7891060910742,ALICATE CUTICULA MUNDIAL FLEX 170-FR,697176
7891060969504,ALICATE CUTICULA MUNDIAL INOX PROF,2142082
7891060679724,ALICATE CUTICULAS MUNDIAL CLASSIC 522,696960
7897517906917,ALICATE UNHA ENOX                       ,2260700
7897517917272,ALICATE UNHA ENOX COMPACTO              ,2260921
7896628012074,AMOLECEDOR CUTICULA BUTTERFLY 110ml,1776827
7896512919878,AMOLECEDOR DE CUTICULAS GRANADO 100g PK ,2336367
7897517907242,BLOCO MODELADOR UNHA RICCA 4FACES       ,2260964
7897517922795,COLA P/UNHA POSTICA RICCA 5g C/PINCEL   ,2233207
7897517906719,CORTADOR UNHA ENOX GRANDE               ,2260735
7897517906702,CORTADOR UNHA ENOX PEQUENO              ,2260743
7897517907433,EMPURRADOR CUTICULA RICCA INOX,1497553
7891055500903,ESCOVA UNHAS CONDOR,696692
7891060773071,KIT ALICATE UNHA+ESPATULA MUNDIAL SANDY,697052
7891060773125,KIT ALICATE UNHA+LIXA MUNDIAL SANDY,697060
7897517904227,LIXA RICCA PLASTICA CONCAVA P/PE        ,2260727
7897517903633,LIXA UNHA RICCA COLORS C/6              ,2260778
7897517907204,LIXA UNHA RICCA METAL MEDIA             ,2260689
7897517903824,PALITO UNHA RICCA MADEIRA C/3           ,2260760
7897517903503,PEDRA POMES RICCA                       ,2260786
7897517907235,POLIDOR UNHA RICCA 3 FACES              ,2260913
7896628012005,REMOVEDOR ESMALTE BUTTERFLY 100ml,700630
7896628012098,REMOVEDOR ESMALTE BUTTERFLY 100ml S/ACET,1918958
7896628018007,REMOVEDOR ESMALTE BUTTERFLY 480ml,1646206
7896346000131,REMOVEDOR ESMALTE DAUVAN 100ml,700703
7896346000018,REMOVEDOR ESMALTE DAUVAN 100ml OLEOSO,700690
7896346000261,REMOVEDOR ESMALTE DAUVAN 100ml S/ACET,700746
7896346000254,REMOVEDOR ESMALTE DAUVAN 50ml,700754
7896512939364,REMOVEDOR ESMALTE GRANADO 75ml PINK     ,2336391
7891182050142,REMOVEDOR ESMALTE RISQUE 100ml,2202336
7896046701581,SECANTE ESMALTE CARELISS 400ml,2002302
7897517906856,TESOURA BELLIZ BEBE,697192
7897517906832,TESOURA UNHA ENOX CURVA                 ,697206
7897517913397,UNHA POSTICA RICCA FRANCESINHA NUDE     ,1772805
7897517913380,UNHAS POSTICAS RICCA FRANCESINHA ROSA   ,2231921
7897517913366,UNHAS POSTICAS RICCA NATURAIS QUAD.CURTO,2231867
7897517913205,UNHAS POSTICAS RICCA NATURAIS QUAD.MEDIO,2231913
7897517913403,UNHAS POSTICAS RICCA VERM QUAD.CURTO    ,2231930
7898409951848,ACHOCOLATADO OVOMALTINE 190g FLOCOS CROC,1529293
7898409951404,ACHOCOLATADO OVOMALTINE 300g FLOCOS CROC,1459368
NESCAU              ,ACHOCOLATADO PO NESCAU 1,2075008
7891000377727,ACHOCOLATADO PO NESCAU 180g 60% CACAU,2162857
7891000426210,ACHOCOLATADO PO NESCAU 350g GTS20g LT   ,2320509
7891000412855,ACHOCOLATADO PO NESCAU 350g LT          ,2301237
7891000390030,ACHOCOLATADO PO NESCAU 350g LT MEN.ACUC ,2228203
7891000379691,ACHOCOLATADO PO NESCAU 370g LT          ,2216604
7891000426067,ACHOCOLATADO PO NESCAU 550g GTS50g SC   ,2329921
7891000338087,ACHOCOLATADO PO NESCAU 550g SACHE,2067161
7891000379738,ACHOCOLATADO PO NESCAU 670g LT,2202328
7891000403129,ACHOCOLATADO PO NESCAU 900g SACHE       ,2297280
7892840819507,ACHOCOLATADO PO TODDY 370g ORIGINAL,2101351
7894321711058,ACHOCOLATADO PO TODDY 380g LIGHT LT,1068776
7894321220529,ACHOCOLATADO PO TODDY 700g ORIGINAL     ,1586017
7892840819170,ACHOCOLATADO PO TODDY 750g ORIGINAL,2076292
7896045115365,ACHOCOLATADO PO 3 CORACOES 350g CHOC.   ,2340453
7896045110582,ACHOCOLATADO PO 3 CORACOES 370g CHOCOL  ,2205971
7896224836098,ACHOCOLATADO PO 3 CORACOES 700g CHOCOL,1816799
7898635644699,CACAU EM PO BR SPICES 30g VD            ,2311763
7896327515012,CACAU PO APTI 100g 100%,2163047
7891048000427,CACAU PO DR.OETKER 150g 100%,1903756
7891000120095,CACAU PO NESTLE 200g 100%,1765035
7896552906258,CHOCOLATE EM PO QUALICAU 200g 100% CACAU,2321408
7896552907446,CHOCOLATE EM PO QUALICAU 200g 32% CACAU ,2320479
7896552906234,CHOCOLATE EM PO QUALICAU 200g 50% CACAU ,2173000
7896327502371,CHOCOLATE PO APTI 200g 50% CACAU,1985086
7896327515692,CHOCOLATE PO APTI 200g 70% CACAU,2102641
7896060530303,CHOCOLATE PO CHOCOLEITE 1kg 50% CACAU,1451367
7891048000106,CHOCOLATE PO DR.OETKER 200g 70% CACAU,1729349
7891008040029,CHOCOLATE PO GAROTO 200g 50% CACAU,1065254
7891000451304,CHOCOLATE PO NESTLE 200g 50% CACAU,1065246
7891000347942,PREPARADO PO NESQUIK 200g MORANGO,2075024
7891000104101,PREPARADO PO NESQUIK 380g MORANGO,1629000
7896327502258,ACUCAR CONFEITEIRO APTI 500g            ,2320576
7896894900273,ACUCAR CRISTAL CARAVELAS 1Kg PREMIUM,1989278
7896894900068,ACUCAR CRISTAL COLOMBO 1kg,1289217
7896894900082,ACUCAR CRISTAL COLOMBO 5kg,1289209
7896032501010,ACUCAR DA BARRA 1kg REFINADO            ,1501305
7896894900013,ACUCAR REFINADO CARAVELAS 1kg,1084712
7896894900037,ACUCAR REFINADO CARAVELAS 5kg,1084704
7891910000197,ACUCAR REFINADO UNIAO 1kg,1084690
7891910020119,ACUCAR REFINADO UNIAO 200g SACHET C/40,1496522
7891910020027,ACUCAR REFINADO UNIAO 250g EM CUBOS,1084852
7891910007110,ACUCAR REFINADO UNIAO 500g GLACUCAR,1065980
7896931615597,AGUA COCO CAMPO LARGO 200ml TP          ,2206790
7896931614941,AGUA COCO CAMPO LARGO 250ml INTEGRAL,2105250
7896931614910,AGUA COCO CAMPO LARGO 900ml INTEGRAL,1869957
7898902230068,AGUA COCO NOSSO COCO 1l,1690086
7898902230754,AGUA COCO NOSSO COCO 1l ORGANICO        ,2270137
7898902230112,AGUA COCO NOSSO COCO 200ml,1690094
7896004401409,AGUA COCO SOCOCO 1l,984841
7896004400358,AGUA COCO SOCOCO 200ml,984833
7896004402116,AGUA COCO SOCOCO 200ml FRUTAS VERMELHAS ,2213079
7896004401652,AGUA COCO SOCOCO 200ml MARACUJA         ,1459902
7896004402109,AGUA COCO SOCOCO 200ml MELANCIA         ,2213060
7896004401041,AGUA COCO SOCOCO 200ml TANGERINA        ,984876
7896004402093,AGUA COCO SOCOCO 200ml UVA              ,2213052
